Phase,Model,MSE,RMSE,MAPE_percent,R2
Phase A,LR,0.779153,0.882696,7.337463,0.855489
Phase A,Lasso,0.779951,0.883148,7.338881,0.855341
Phase A,RF,0.20508,0.452858,3.198111,0.961963
Phase B,LR,0.773736,0.879622,7.289174,0.856494
Phase B,Lasso,0.774547,0.880084,7.292088,0.856343
Phase B,RF,0.208334,0.456436,3.21281,0.96136
Phase C,LR,0.773736,0.879622,7.289174,0.856494
Phase C,Lasso,0.796858,0.892669,7.314376,0.852205
Phase C,RF,0.576063,0.758988,5.726792,0.893157
